"tipatrans","transcr_lemma","lemma","prep","form","tokens","prop"
"v@ dnivn\'\i k","dnivn\'\i k","дневник","v","дневни'к",193,0
"k@ dnivnik\'u","dnivn\'\i k","дневник","k","дневнику'",36,0
"s@ dnivnik\'om","dnivn\'\i k","дневник","s","дневнико'м",52,0
"va dn\'\i","d\'en\super j","день","v","дни'",2851,0.17
"va dn\super j\'ax","d\'en\super j","день","v","дна'х'",76,0.92
"ka dn\super j\'am","d\'en\super j","день","k","дня'м",34,0.294117647058824
"ka dn\super j\'u","d\'en\super j","день","k","дню'",570,0.808771929824561
"sa dn\'ej","d\'en\super j","день","s","дне'й",28,0.392857142857143
"sa dn\super j\'a","d\'en\super j","день","s","дня'",3391,0.994691831318195
"sa dn\super j\'ami","d\'en\super j","день","s","дня'ми",28,0.214285714285714
"sa dn\super j\'om","d\'en\super j","день","s","днём",516,0.0736434108527132
