"tipatrans","prop","tokens","transcr_lemma"
"v@ dvar\'{\ipabar{\i}{.5ex}{1.1}{}{}}",0.959459459459459,74,"dvor"
"va dv\'or",0.994125500667557,3745,"dvor"
"k@ dvar\'am",0.847826086956522,46,"dvor"
"k@ dvar\'u",0.633663366336634,1010,"dvor"
"s@ dvar\'of",0.714285714285714,42,"dvor"
"s@ dvar\'a",0.977814753189129,1803,"dvor"
"s@ dvar\'om",0.276315789473684,76,"dvor"
"v@ dvar\'ax",0.968421052631579,285,"dvor"
"v@ dvar\'e",0.995072788353863,4465,"dvor"
"dv\'\i g@til\super j",0,428,"control"
"dvi\:z\'enij@",0,3073,"control"
"dvajn\'\i k",0,93,"control"
