"tipatrans","transcr_lemma","tokens","prop","ord"
"v@ dvar\'e\t{ts}","dvar\'e\t{ts}","1261","0.99",1
"k@ dvar\t{ts}\'u","dvar\'e\t{ts}","205","0.67",1
"va dv\'orik","dv\'orik","54","0.92",2
"va dv\'orike","dv\'orik","92","0.89",2
"va dv\'orniki","dv\'ornik","37","0.0",3
"ka dv\'orniku","dv\'ornik","55","0.0",3
"sa dv\'ornik@m","dv\'ornik","66","0.0",3
"k@ dv@r\super j\'an@m","dv@rin\'\i n","22","0.04",4
"s@ dv@r\super j\'an@mi","dv@rin\'\i n","55","0.05",4
"s@ dv@rin\'\i n@m","dv@rin\'\i n","19","0.0",4
